 section index, x coordinate [mm], halpha [W/m^2/K], halpha_c [W/m^2/K], q_rad [W/m^2], q_total [W/m^2], T_wall_i [K], T_coolant [K], P_coolant [Pa], Re_coolant, v_coolant [m/s], T_hg (cinjarev) [K]
0,0.0,230.7045213914561,707.431297179536,479690.6120391785,717192.1212132148,1460.1262530490164,929.5649208023551,5999977.726129476,3407.126089829207,0.9286310655331602,2476.1352928628526
1,5.0,231.60567426644326,703.6976648758141,479690.6120391785,721830.8834425826,1443.9466510489212,906.5801637850855,5999979.080028008,3494.632828468919,0.904328477224932,2476.1352928628526
2,10.0,232.5514188423822,699.8404956058193,479690.6120391785,726671.4971726863,1427.2335964939411,882.854847733589,5999980.389760683,3589.8876063414896,0.8792209040314745,2476.1352928628526
3,15.0,233.5455089614579,695.8535567819856,479690.6120391785,731727.6692487411,1409.956390650502,858.3436444714669,5999981.654244059,3694.0141340594564,0.853256284956286,2476.1352928628526
4,20.0,234.59068349309237,691.7394439998267,479690.6120391785,737010.1610952349,1392.1018560208015,832.9957290900456,5999982.872344878,3808.3808100706,0.826374372000936,2476.1352928628526
5,25.0,235.69910346144297,687.4355153842798,479690.6120391785,742575.4845293333,1373.4900266179268,806.752284085172,5999984.0428717565,3934.625556980067,0.7985151637441151,2476.1352928628526
6,30.0,236.832745764226,683.1912771358283,479690.6120391785,748228.9002798122,1354.7237835673911,779.5547326846754,5999985.16458294,4075.0016211774446,0.7695643516130088,2476.1352928628526
7,35.0,237.97660070552092,679.1672854243776,479690.6120391785,753896.7212992132,1336.229405185704,751.2914804644851,5999986.236100789,4232.495312475489,0.7393691841643653,2476.1352928628526
8,40.0,239.19285948096166,675.0055096816055,479690.6120391785,759871.4446719391,1316.970835776828,721.8134029027863,5999987.2558597075,4410.642658257274,0.7078133811331893,2476.1352928628526
9,45.0,240.57009784896587,670.2078744938113,479690.6120391785,766593.7950761595,1295.6691056375835,691.0069806569555,5999988.222186027,4613.2036279205295,0.6748941849511353,2476.1352928628526
10,50.0,242.10028541389116,664.342962484381,479690.6120391785,773995.1917425479,1272.6144756367833,658.8695216424796,5999989.133504255,4840.20373537712,0.6405857072810316,2476.1352928628526
