gamma_deg,h_cruise_m,x_m,rho,v
5,25000.0,0.0,1.225,0.0
5,25000.0,100.0,1.2234886545134798,17.187907906112574
5,25000.0,200.0,1.2219794712821632,24.30737246964415
5,25000.0,300.0,1.2204724467869106,29.770329769201776
5,25000.0,400.0,1.2189675775149893,34.37581581222515
5,25000.0,500.0,1.217464859960081,38.43333046907379
5,25000.0,600.0,1.21596429062226,42.101604115924644
5,25000.0,700.0,1.2144658660079835,45.47492987705479
5,25000.0,800.0,1.2129695826300693,48.6147449392883
5,25000.0,900.0,1.2114754370077034,51.56372371833773
5,25000.0,1000.0,1.2099834256664024,54.352937196531265
5,25000.0,1100.0,1.2084935451380194,57.005841455758535
5,25000.0,1200.0,1.2070057919607227,59.54065953840355
5,25000.0,1300.0,1.2055201626789864,61.971883273441776
5,25000.0,1400.0,1.2040366538435703,64.31126258009633
5,25000.0,1500.0,1.2025552620115236,66.56848107652078
5,25000.0,1600.0,1.2010759837461509,68.7516316244503
5,25000.0,1700.0,1.1995988156170165,70.86755978029102
5,25000.0,1800.0,1.1981237541999243,72.92211740893245
5,25000.0,1900.0,1.1966507960769084,74.92035361362849
5,25000.0,2000.0,1.1951799378362116,76.86666093814758
5,25000.0,2100.0,1.193711176072292,78.76488901769082
5,25000.0,2200.0,1.1922445073857866,80.61843412122415
5,25000.0,2300.0,1.1907799283835179,82.43031055593059
5,25000.0,2400.0,1.1893174356784721,84.20320823184929
5,25000.0,2500.0,1.187857025889791,85.93953953056287
5,25000.0,2600.0,1.1863986956427504,87.64147781110371
5,25000.0,2700.0,1.1849424415687668,89.31098930760534
5,25000.0,2800.0,1.1834882603053616,90.94985975410958
5,25000.0,2900.0,1.1820361484961666,92.55971676426634
5,25000.0,3000.0,1.1805861027909041,94.14204876499242
5,25000.0,3100.0,1.1791381198453776,95.69822111125798
5,25000.0,3200.0,1.1776921963214513,97.2294898785766
5,25000.0,3300.0,1.1762483288870558,98.73701372958996
5,25000.0,3400.0,1.174806514216154,100.22186417357364
5,25000.0,3500.0,1.1733667489887454,101.68503447713066
