file,lines,imports,referenced_files
better_profile.py,2707,"__future__, contextlib, dataclasses, functools, importlib, io, matplotlib, numpy, pandas, pathlib, scipy, time, traceback",turbojet_multidesign_thrust_maps.npz; ramjet_multidesign_thrust_maps.npz; turbojet_surrogate_calibration.npz; ramjet_surrogate_calibration_limited_mach_alt.npz; {prefix}_available_thrust_map.png; {prefix}_required_thrust_map.png; Saved available thrust map PNG: {prefix}_available_thrust_map.png; Saved required thrust map PNG: {prefix}_required_thrust_map.png; {prefix}_design_pair_summary.csv; {prefix}_best_profile.csv; {prefix}_takeoff_to_landing_profile.csv; {prefix}_descent_summary.csv; {prefix}_altitude_vs_range_takeoff_to_landing.png; Saved altitude-vs-range PNG: {prefix}_altitude_vs_range_takeoff_to_landing.png; {prefix}_altitude_vs_mach_takeoff_to_landing.png; Saved altitude-vs-Mach PNG: {prefix}_altitude_vs_mach_takeoff_to_landing.png; {prefix}_exact_ramjet_diagnostic_points.csv
Boom_map.py,555,"geodatasets, geopandas, matplotlib, numpy, pyproj, scipy, shapely",isa_profile.png; Saved: isa_profile.png; coastal_exclusion_map.png; Saved: coastal_exclusion_map.png; mach_altitude_envelope.png; Saved: mach_altitude_envelope.png
coastal_zones.py,255,"cartopy, geodatasets, geopandas, matplotlib, numpy, pyproj, shapely",
combined_sizing.py,2202,"contextlib, dataclasses, importlib, io, math, numpy, pathlib, scipy, sys, typing",
Engine/Engine_Cooling.py,480,"__future__, dataclasses, matplotlib, numpy, ramjet_01, typing",ramjet_cooling.png
Engine/ramjet_01.py,1580,"__future__, cea, matplotlib, numpy, scipy",
Engine/scramjet_01.py,1706,"__future__, cea, matplotlib, numpy, pandas, scipy",
Engine/turbojet_01.py,405,"__future__, dataclasses, math, matplotlib, numpy, pandas, typing",thrust_vs_mach_altitude.png; turbojet_mach_altitude_results.csv; thrust_vs_mach_altitude.png;   thrust_vs_mach_altitude.png;   turbojet_mach_altitude_results.csv
example_cycles/__init__.py,0,,
example_cycles/afterburning_turbojet.py,288,"numpy, openmdao, pycycle, sys, time",
example_cycles/electric_propulsor.py,196,"matplotlib, numpy, openmdao, pycycle, time",
example_cycles/high_bypass_turbofan.py,479,"numpy, openmdao, pycycle, sys, time",
example_cycles/mixedflow_turbofan.py,431,"numpy, openmdao, pycycle, sys, time",
example_cycles/multi_spool_turboshaft.py,361,"numpy, openmdao, pycycle, sys, time",
example_cycles/N+3ref/benchmark_N3_MDP.py,138,"N3_MDP, numpy, openmdao, os, pycycle, unittest",
example_cycles/N+3ref/benchmark_N3_MDP_Opt.py,139,"N3_MDP_Opt, numpy, openmdao, os, pycycle, unittest",
example_cycles/N+3ref/benchmark_N3_MDP_verif.py,144,"N3_MDP_verif, numpy, openmdao, os, pycycle, unittest",
example_cycles/N+3ref/benchmark_N3_SPD.py,139,"N3_SPD, numpy, openmdao, os, pycycle, unittest",
example_cycles/N+3ref/benchmark_N3ref.py,133,"N3ref, numpy, openmdao, os, pycycle, unittest",
example_cycles/N+3ref/N3_Fan_map.py,103,"numpy, pycycle",
example_cycles/N+3ref/N3_HPC_map.py,126,"numpy, pycycle",
example_cycles/N+3ref/N3_HPT_map.py,69,"numpy, pycycle",
example_cycles/N+3ref/N3_LPC_map.py,114,"numpy, pycycle",
example_cycles/N+3ref/N3_LPT_map.py,73,"numpy, pycycle",
example_cycles/N+3ref/N3_MDP.py,135,"N3ref, numpy, openmdao, pickle, pprint, pycycle, time",
example_cycles/N+3ref/N3_MDP_Opt.py,136,"N3ref, numpy, openmdao, pickle, pprint, pycycle, time",
example_cycles/N+3ref/N3_MDP_verif.py,134,"N3ref, numpy, openmdao, pickle, pprint, pycycle, time",derivs.pkl
example_cycles/N+3ref/N3_SPD.py,126,"N3ref, numpy, openmdao, pickle, pprint, pycycle, time",
example_cycles/N+3ref/N3ref.py,611,"N3_Fan_map, N3_HPC_map, N3_HPT_map, N3_LPC_map, N3_LPT_map, numpy, openmdao, pycycle, small_core_eff_balance, sys, time",
example_cycles/N+3ref/small_core_eff_balance.py,88,"numpy, openmdao, scipy",
example_cycles/simple_turbojet.py,252,"openmdao, pycycle, sys, time",
example_cycles/single_spool_turboshaft.py,252,"openmdao, pycycle, sys, time",
example_cycles/tab_thermo_data_generator.py,173,"numpy, openmdao, pickle, pycycle",air_jetA.pkl; air_jetA.pkl
example_cycles/tests/benchmark_ab_turbojet.py,492,"example_cycles, numpy, openmdao, os, pycycle, unittest",
example_cycles/tests/benchmark_electric_propulsor.py,70,"example_cycles, numpy, openmdao, os, pycycle, unittest",
example_cycles/tests/benchmark_hbtf.py,218,"example_cycles, numpy, openmdao, os, pycycle, unittest",
example_cycles/tests/benchmark_mixedflow_turbofan.py,130,"example_cycles, numpy, openmdao, os, pycycle, unittest",
example_cycles/tests/benchmark_multi_spool_turboshaft.py,167,"example_cycles, numpy, openmdao, os, pycycle, unittest",
example_cycles/tests/benchmark_simple_turbojet.py,136,"example_cycles, numpy, openmdao, os, pycycle, unittest",
example_cycles/tests/benchmark_single_spool_turboshaft.py,140,"example_cycles, numpy, openmdao, os, pycycle, unittest",
example_cycles/tests/benchmark_wet_propulsor.py,61,"example_cycles, numpy, openmdao, os, pycycle, unittest",
example_cycles/tests/benchmark_wet_simple_turbojet.py,67,"example_cycles, numpy, openmdao, os, pycycle, unittest",
example_cycles/tests/test_all_examples.py,123,"openmdao, os, parameterized, pathlib, subprocess, unittest",
example_cycles/wet_propulsor.py,189,"numpy, openmdao, pycycle, time",
example_cycles/wet_simple_turbojet.py,233,"openmdao, pycycle, sys, time",
Heat_temps_turbulent.py,593,"matplotlib, numpy, pandas, pathlib",density_velocity_database.csv; wall_temperature.pdf; heat_flux.pdf; adiabatic_temperature.pdf; reynolds.pdf
Hypersonic Drag Estimation Alex.py,214,"matplotlib, numpy",
Hypersonic Drag Estimation.py,92,"matplotlib, numpy",
Hypersonicdragpluh.py,447,"matplotlib, numpy",
Improved Merged Drag with Altitude Input.py,262,"csv, matplotlib, numpy",mach_fixed_altitude_output.csv
Initial_sizing.py,929,"__future__, dataclasses, math, matplotlib, mpl_toolkits, numpy",solution_space_wing_body.png
Input Altitude Merged Drag.py,278,"csv, matplotlib, numpy",mach_fixed_altitude_output.csv
Input_Alt_Merged_Drag_with_alt.py,342,"csv, matplotlib, numpy",mach_fixed_altitude_output.csv
isa_atmosphere.py,79,math,
Merged Drag to Mach Graph.py,233,"matplotlib, numpy",
Merged Drag to Mach Numerical and Graph with Altitude Input.py,271,"csv, matplotlib, numpy",mach_fixed_altitude_output.csv
Merged Drag to Mach Numerical and Graph.py,263,"csv, matplotlib, numpy",mach_regime_continuous_output.csv
Merged Drag to Mach.py,227,"matplotlib, numpy",
Mission_Heat_flux_Laminar.py,391,"matplotlib, numpy, pandas",density_velocity_database.csv
Old_rubbish/benjamin.py,129,"matplotlib, numpy",
Old_rubbish/empirical_drag.py,461,"Engine, math, matplotlib, numpy, pandas, scipy",drag_vs_mach_alpha_sweep.png
Old_rubbish/Missiondensitiesv.py,146,"isa_atmosphere, numpy, pandas",density_velocity_database.csv
Old_rubbish/old_combined_m8.py,1229,"dataclasses, math, numpy",
Old_rubbish/optimize_transition_profile.py,1398,"__future__, contextlib, dataclasses, functools, importlib, io, matplotlib, numpy, os, pandas, pathlib, scipy, traceback",turbojet_thrust_map.npz; ramjet_thrust_map.npz
Old_rubbish/plot_altitude_vs_range.py,413,"__future__, importlib, math, matplotlib, numpy, pathlib, sys",
Old_rubbish/thrust_vs_drag.py,5345,"__future__, cea, contextlib, dataclasses, io, math, matplotlib, numpy, pandas, scipy, typing, warnings",ramjet_thrust_sweep_results.csv; mach3_thrust_drag_vs_altitude.png; mach3_thrust_drag_vs_altitude.png
pycycle/__init__.py,1,,
pycycle/api.py,44,pycycle,
pycycle/connect_flow.py,11,warnings,
pycycle/constants.py,72,"os, pickle, warnings",air_jetA.pkl
pycycle/docs/conf.py,150,"importlib, mock, numpydoc, openmdao, os, pycycle, sys, textwrap",_static/OpenMDAO_Logo.png; globaltoc.html; searchbox.html
pycycle/element_base.py,63,"numpy, openmdao, pycycle",
pycycle/elements/__init__.py,0,,
pycycle/elements/ambient.py,68,"openmdao, pycycle",
pycycle/elements/bleed_out.py,206,"collections, numpy, openmdao, pycycle",
pycycle/elements/cfd_start.py,90,"openmdao, pycycle",
pycycle/elements/combustor.py,181,"numpy, openmdao, pycycle",
pycycle/elements/compressor.py,588,"collections, itertools, numpy, openmdao, pycycle",
pycycle/elements/compressor_map.py,331,"numpy, openmdao, pycycle",
pycycle/elements/cooling.py,339,"openmdao, pycycle",
