success,error,Altitude_km,Mach,Thrust_N,Thrust_kN,Isp_s,Ia_Ns_per_kg,mdot_air_kg_s,mfuel_kg_s,phi,Ma_exit,T_exit_K,p_exit_Pa
True,,12.0,2.0,62811.17989007424,62.81117989007424,6071.298504215211,628.1117989007424,100.0,1.4556040756914967,0.5,2.400973725272586,500.6958227999523,7862.714366130368
True,,12.0,2.25,69684.46285649276,69.68446285649276,6735.666737165076,696.8446285649276,100.0,1.4556040756914967,0.5,2.551708763016444,553.1473931385392,8780.927687811896
True,,12.0,2.5,79048.34953210017,79.04834953210016,7640.7755293697555,790.4834953210017,100.0,1.4556040756914967,0.5,2.6850903034693685,633.5143608082477,9955.933782939592
True,,12.0,2.75,92853.42739190592,92.85342739190592,8975.16773004959,928.5342739190592,100.0,1.4556040756914967,0.5,2.782820034183111,774.4748060303151,11704.500228649611
True,,12.0,3.0,119361.57444002917,119.36157444002917,11537.432502092508,1193.6157444002918,100.0,1.4556040756914967,0.5,2.7826250186120762,1137.0575228068062,15421.260236631531
True,,12.0,3.25,134758.05556189868,134.7580555618987,13025.648978346851,1347.5805556189869,100.0,1.4556040756914967,0.5,2.9087477513681796,1317.6725570011376,17171.14547319156
True,,12.0,3.5,134269.2419504946,134.26924195049457,12978.400489256986,1342.692419504946,100.0,1.4556040756914967,0.5,3.137153392540251,1217.60324354032,16514.870402116474
True,,12.0,3.75,133167.14481000495,133.16714481000494,12871.872308569014,1331.6714481000495,100.0,1.4556040756914967,0.5,3.3506639049213565,1134.854843848629,16024.178288231953
True,,12.0,4.0,131594.45671584105,131.59445671584106,12719.857032142036,1315.9445671584106,100.0,1.4556040756914967,0.5,3.5527813488814477,1064.779938777638,15643.115373041259
True,,12.0,4.25,129605.58253436138,129.6055825343614,12527.613408248608,1296.0558253436138,100.0,1.4556040756914967,0.5,3.744862613702186,1004.5194664180979,15343.369536723185
True,,12.0,4.5,127266.3589944852,127.2663589944852,12301.505183510108,1272.663589944852,100.0,1.4556040756914967,0.5,3.924818936006821,953.7961955362824,15130.589249828134
True,,12.0,4.75,124673.71245328758,124.67371245328758,12050.901213085102,1246.7371245328757,100.0,1.4556040756914967,0.5,4.096434509620895,909.6964255520247,14970.021546247934
True,,12.0,5.0,121822.61186386464,121.82261186386464,11775.315198394333,1218.2261186386465,100.0,1.4556040756914967,0.5,4.257132148247934,872.1201769499011,14871.819423026287
True,,14.0,2.0,62901.45146074897,62.901451460748966,6080.024110914048,629.0145146074897,100.0,1.4556040756914967,0.5,2.405246162815781,499.98732209675796,5721.841518849375
True,,14.0,2.25,69801.58417069085,69.80158417069086,6746.9876271873145,698.0158417069085,100.0,1.4556040756914967,0.5,2.5566522703980663,552.317239368407,6388.844333567666
True,,14.0,2.5,79210.46448438705,79.21046448438705,7656.445482856584,792.1046448438705,100.0,1.4556040756914967,0.5,2.69058442401546,632.6751493263716,7243.630275885486
