rank,A2_m2,A3_m2,A6_m2,L_comb_m,phi,A6_frac,A1_mean_across_files,A1_std_across_files,A1_range_across_files,A1_sweepresults_M275_h17_T300,A1_sweepresults_M44_h293_T170,A1_sweepresults_M5_h300_T140
1,4.5,5.5,7.5,0.9,0.8,1.5,1.791355,1.302306,2.909708,3.623657,1.03646,0.713949
2,4.5,5.5,7.5,0.7,0.8,1.5,1.791355,1.302306,2.909708,3.623657,1.03646,0.713949
3,4.5,5.5,7.0,0.7,0.8,1.4,1.791355,1.302306,2.909708,3.623657,1.03646,0.713949
4,4.5,5.5,8.0,0.5,0.8,1.6,1.791355,1.302306,2.909708,3.623657,1.03646,0.713949
5,4.5,5.5,7.0,0.9,0.8,1.4,1.791355,1.302306,2.909708,3.623657,1.03646,0.713949
6,4.5,5.5,8.0,0.9,0.8,1.6,1.791355,1.302306,2.909708,3.623657,1.03646,0.713949
7,4.5,5.5,8.0,0.3,0.8,1.6,1.791355,1.302306,2.909708,3.623657,1.03646,0.713949
8,4.5,5.5,7.0,0.3,0.8,1.4,1.791355,1.302306,2.909708,3.623657,1.03646,0.713949
9,4.5,5.5,7.5,0.3,0.8,1.5,1.791355,1.302306,2.909708,3.623657,1.03646,0.713949
10,4.5,5.5,7.5,0.5,0.8,1.5,1.791355,1.302306,2.909708,3.623657,1.03646,0.713949
11,4.5,5.5,7.0,0.5,0.8,1.4,1.791355,1.302306,2.909708,3.623657,1.03646,0.713949
12,4.5,5.5,8.0,0.7,0.8,1.6,1.791355,1.302306,2.909708,3.623657,1.03646,0.713949
