rank,A0_m2,L_comb_m,phi,A6_frac,A1_m2,A2_m2,A3_m2,A6_m2,L23_m,L34_m,AR_nozzle,sigma_c,T1_K,P1_kPa,mdot_air,mdot_fuel,FAR,Ma4,T4_K,Tt4_K,P4_kPa,Pt4_kPa,Ma6,V6_ms,P6_kPa,T6_K,Fin_N,Isp_s,Ia_Ns_kg
1,4.5,0.7,0.95,1.6,0.932813752874711,4.05,4.95,7.2,0.42,0.27999999999999997,8.554379118796728,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205533,0.0165938864628833,0.10683778717544701,3163.811804721103,3168.9419003523067,211.46385771411957,213.01805785551034,3.46914715284149,2632.862540255371,2.5050223739090574,1100.4640847708636,177498.3736087451,14285.66179232566,1480.9049412546244
2,4.5,0.9,0.95,1.6,0.932813752874711,4.05,4.95,7.2,0.54,0.36000000000000004,8.55432492427824,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683799354932892,3163.8087739264133,3168.9388850827468,211.4624094007683,213.01660496062468,3.4691413902797743,2632.859721236036,2.505027956013993,1100.4654545346878,177498.0665731195,14285.637081073286,1480.9023795941096
3,4.5,0.5,0.95,1.6,0.932813752874711,4.05,4.95,7.2,0.3,0.2,8.554455180274433,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.988910818620596,0.016593886462883654,0.10683650570713904,3163.800471058688,3168.9304275830905,211.46538462400892,213.0195587535132,3.4691561905104145,2632.8597893665474,2.505006285553689,1100.455616409642,177497.91893763788,14285.625198876754,1480.9011478413347
4,4.5,0.3,0.95,1.6,0.932813752874711,4.05,4.95,7.2,0.18,0.12,8.554520998257441,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683568071064954,3163.796079704489,3168.9259507888482,211.46688319897052,213.021044331373,3.4691636812488027,2632.859736957231,2.5049952326509772,1100.450560587317,177497.8329013309,14285.618274387487,1480.900430022971
5,4.5,0.7,0.95,1.5,0.932813752874711,4.05,4.95,6.75,0.42,0.27999999999999997,8.019730423871932,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205533,0.0165938864628833,0.10683778717544701,3163.811804721103,3168.9419003523067,211.46385771411957,213.01805785551034,3.40772810358363,2616.7362190851904,2.752827924983178,1127.9900390337275,176057.47529657115,14169.693484862613,1468.8832343118477
6,4.5,0.9,0.95,1.5,0.932813752874711,4.05,4.95,6.75,0.54,0.36000000000000004,8.019679616510851,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683799354932892,3163.8087739264133,3168.9388850827468,211.4624094007683,213.01660496062468,3.4077223672746655,2616.733359491053,2.7528341221507158,1127.9914431136524,176057.16490295483,14169.668503347932,1468.8806446349352
7,4.5,0.5,0.95,1.5,0.932813752874711,4.05,4.95,6.75,0.3,0.2,8.01980173150728,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.988910818620596,0.016593886462883654,0.10683650570713904,3163.800471058688,3168.9304275830905,211.46538462400892,213.0195587535132,3.4077370535063576,2616.7335750782822,2.7528102217492405,1127.9813918238601,176057.03012974875,14169.657656350286,1468.8795201947344
8,4.5,0.3,0.95,1.5,0.932813752874711,4.05,4.95,6.75,0.18,0.12,8.01986343586635,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683568071064954,3163.796079704489,3168.9259507888482,211.46688319897052,213.021044331373,3.407744485982381,2616.733597823377,2.7527980327279336,1127.9762266001974,176056.95065543416,14169.651259992075,1468.8788571244045
9,4.5,0.7,0.95,1.4,0.932813752874711,4.05,4.95,6.3,0.42,0.27999999999999997,7.485081728947137,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205533,0.0165938864628833,0.10683778717544701,3163.811804721103,3168.9419003523067,211.46385771411957,213.01805785551034,3.3424757973989387,2598.912045160499,3.0455597089997393,1158.1010717144513,174467.4578117064,14041.723568458021,1455.6173958585457
10,4.5,0.9,0.95,1.4,0.932813752874711,4.05,4.95,6.3,0.54,0.36000000000000004,7.485034308743461,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683799354932892,3163.8087739264133,3168.9388850827468,211.4624094007683,213.01660496062468,3.342470086110087,2598.9091400110333,3.045566645079774,1158.1025138121386,174467.1436733316,14041.698285552673,1455.6147749383533
